Method Time Sample
METHOD_DEAFAULT-O(2N) 293264 90000
METHOD_OPTMIZED-O(N) 122329 90000
METHOD_DEAFAULT-O(2N) 308235 91000
METHOD_OPTMIZED-O(N) 132613 91000
METHOD_DEAFAULT-O(2N) 324224 92000
METHOD_OPTMIZED-O(N) 134019 92000
METHOD_DEAFAULT-O(2N) 316987 93000
METHOD_OPTMIZED-O(N) 137292 93000
METHOD_DEAFAULT-O(2N) 305659 94000
METHOD_OPTMIZED-O(N) 120760 94000
METHOD_DEAFAULT-O(2N) 266375 95000
METHOD_OPTMIZED-O(N) 106264 95000
METHOD_DEAFAULT-O(2N) 264938 96000
METHOD_OPTMIZED-O(N) 105870 96000
METHOD_DEAFAULT-O(2N) 287434 97000
METHOD_OPTMIZED-O(N) 114812 97000
METHOD_DEAFAULT-O(2N) 352816 98000
METHOD_OPTMIZED-O(N) 152256 98000
METHOD_DEAFAULT-O(2N) 309722 99000
METHOD_OPTMIZED-O(N) 124336 99000
METHOD_DEAFAULT-O(2N) 261612 100000
METHOD_OPTMIZED-O(N) 110401 100000
METHOD_DEAFAULT-O(2N) 287659 101000
METHOD_OPTMIZED-O(N) 117401 101000
METHOD_DEAFAULT-O(2N) 376351 102000
METHOD_OPTMIZED-O(N) 177112 102000
METHOD_DEAFAULT-O(2N) 336438 103000
METHOD_OPTMIZED-O(N) 147896 103000
METHOD_DEAFAULT-O(2N) 306369 104000
METHOD_OPTMIZED-O(N) 129448 104000
METHOD_DEAFAULT-O(2N) 281091 105000
METHOD_OPTMIZED-O(N) 112670 105000
METHOD_DEAFAULT-O(2N) 307829 106000
METHOD_OPTMIZED-O(N) 129746 106000
METHOD_DEAFAULT-O(2N) 302305 107000
METHOD_OPTMIZED-O(N) 123445 107000
METHOD_DEAFAULT-O(2N) 411229 108000
METHOD_OPTMIZED-O(N) 180634 108000
METHOD_DEAFAULT-O(2N) 372439 109000
METHOD_OPTMIZED-O(N) 153253 109000
METHOD_DEAFAULT-O(2N) 382199 110000
METHOD_OPTMIZED-O(N) 161198 110000
METHOD_DEAFAULT-O(2N) 373816 111000
METHOD_OPTMIZED-O(N) 154832 111000
METHOD_DEAFAULT-O(2N) 393664 112000
METHOD_OPTMIZED-O(N) 165349 112000
METHOD_DEAFAULT-O(2N) 444753 113000
METHOD_OPTMIZED-O(N) 192820 113000
METHOD_DEAFAULT-O(2N) 350067 114000
METHOD_OPTMIZED-O(N) 141015 114000
METHOD_DEAFAULT-O(2N) 460056 115000
METHOD_OPTMIZED-O(N) 173146 115000
METHOD_DEAFAULT-O(2N) 349086 116000
METHOD_OPTMIZED-O(N) 145817 116000
METHOD_DEAFAULT-O(2N) 323552 117000
METHOD_OPTMIZED-O(N) 131131 117000
METHOD_DEAFAULT-O(2N) 322508 118000
METHOD_OPTMIZED-O(N) 128354 118000
METHOD_DEAFAULT-O(2N) 349460 119000
METHOD_OPTMIZED-O(N) 136468 119000
METHOD_DEAFAULT-O(2N) 354025 120000
METHOD_OPTMIZED-O(N) 141053 120000
METHOD_DEAFAULT-O(2N) 394944 121000
METHOD_OPTMIZED-O(N) 162538 121000
METHOD_DEAFAULT-O(2N) 356980 122000
METHOD_OPTMIZED-O(N) 149931 122000
METHOD_DEAFAULT-O(2N) 449340 123000
METHOD_OPTMIZED-O(N) 183732 123000
METHOD_DEAFAULT-O(2N) 358533 124000
METHOD_OPTMIZED-O(N) 147563 124000
METHOD_DEAFAULT-O(2N) 369401 125000
METHOD_OPTMIZED-O(N) 143931 125000
METHOD_DEAFAULT-O(2N) 378116 126000
METHOD_OPTMIZED-O(N) 151599 126000
METHOD_DEAFAULT-O(2N) 457779 127000
METHOD_OPTMIZED-O(N) 190311 127000
METHOD_DEAFAULT-O(2N) 435638 128000
METHOD_OPTMIZED-O(N) 176816 128000
METHOD_DEAFAULT-O(2N) 434644 129000
METHOD_OPTMIZED-O(N) 178240 129000
METHOD_DEAFAULT-O(2N) 508691 130000
METHOD_OPTMIZED-O(N) 217179 130000
METHOD_DEAFAULT-O(2N) 494344 131000
METHOD_OPTMIZED-O(N) 196664 131000
METHOD_DEAFAULT-O(2N) 443875 132000
METHOD_OPTMIZED-O(N) 154959 132000
METHOD_DEAFAULT-O(2N) 413614 133000
METHOD_OPTMIZED-O(N) 161357 133000
METHOD_DEAFAULT-O(2N) 426308 134000
METHOD_OPTMIZED-O(N) 155222 134000
METHOD_DEAFAULT-O(2N) 408925 135000
METHOD_OPTMIZED-O(N) 154182 135000
METHOD_DEAFAULT-O(2N) 402118 136000
METHOD_OPTMIZED-O(N) 160518 136000
METHOD_DEAFAULT-O(2N) 419743 137000
METHOD_OPTMIZED-O(N) 166854 137000
METHOD_DEAFAULT-O(2N) 575547 138000
METHOD_OPTMIZED-O(N) 239443 138000
METHOD_DEAFAULT-O(2N) 442362 139000
METHOD_OPTMIZED-O(N) 179362 139000
METHOD_DEAFAULT-O(2N) 404442 140000
METHOD_OPTMIZED-O(N) 161078 140000
METHOD_DEAFAULT-O(2N) 439218 141000
METHOD_OPTMIZED-O(N) 176005 141000
METHOD_DEAFAULT-O(2N) 427755 142000
METHOD_OPTMIZED-O(N) 170693 142000
METHOD_DEAFAULT-O(2N) 454202 143000
METHOD_OPTMIZED-O(N) 176773 143000
METHOD_DEAFAULT-O(2N) 433132 144000
METHOD_OPTMIZED-O(N) 172551 144000
METHOD_DEAFAULT-O(2N) 500353 145000
METHOD_OPTMIZED-O(N) 202911 145000
METHOD_DEAFAULT-O(2N) 532057 146000
METHOD_OPTMIZED-O(N) 216239 146000
METHOD_DEAFAULT-O(2N) 506811 147000
METHOD_OPTMIZED-O(N) 204451 147000
METHOD_DEAFAULT-O(2N) 520498 148000
METHOD_OPTMIZED-O(N) 210450 148000
METHOD_DEAFAULT-O(2N) 546565 149000
METHOD_OPTMIZED-O(N) 231924 149000
METHOD_DEAFAULT-O(2N) 611794 150000
METHOD_OPTMIZED-O(N) 255653 150000
METHOD_DEAFAULT-O(2N) 604311 151000
METHOD_OPTMIZED-O(N) 252579 151000
METHOD_DEAFAULT-O(2N) 597985 152000
METHOD_OPTMIZED-O(N) 254858 152000
METHOD_DEAFAULT-O(2N) 533047 153000
METHOD_OPTMIZED-O(N) 208114 153000
METHOD_DEAFAULT-O(2N) 700356 154000
METHOD_OPTMIZED-O(N) 313819 154000
METHOD_DEAFAULT-O(2N) 782428 155000
METHOD_OPTMIZED-O(N) 361109 155000
METHOD_DEAFAULT-O(2N) 565814 156000
METHOD_OPTMIZED-O(N) 226390 156000
METHOD_DEAFAULT-O(2N) 477952 157000
METHOD_OPTMIZED-O(N) 183245 157000
METHOD_DEAFAULT-O(2N) 509487 158000
METHOD_OPTMIZED-O(N) 196168 158000
METHOD_DEAFAULT-O(2N) 508343 159000
METHOD_OPTMIZED-O(N) 195968 159000
METHOD_DEAFAULT-O(2N) 499811 160000
METHOD_OPTMIZED-O(N) 191186 160000
METHOD_DEAFAULT-O(2N) 517428 161000
METHOD_OPTMIZED-O(N) 210456 161000
METHOD_DEAFAULT-O(2N) 555984 162000
METHOD_OPTMIZED-O(N) 197272 162000
METHOD_DEAFAULT-O(2N) 521591 163000
METHOD_OPTMIZED-O(N) 190010 163000
METHOD_DEAFAULT-O(2N) 495230 164000
METHOD_OPTMIZED-O(N) 189239 164000
METHOD_DEAFAULT-O(2N) 562416 165000
METHOD_OPTMIZED-O(N) 214456 165000
METHOD_DEAFAULT-O(2N) 549040 166000
METHOD_OPTMIZED-O(N) 210818 166000
METHOD_DEAFAULT-O(2N) 526187 167000
METHOD_OPTMIZED-O(N) 197872 167000
METHOD_DEAFAULT-O(2N) 529082 168000
METHOD_OPTMIZED-O(N) 200253 168000
METHOD_DEAFAULT-O(2N) 538597 169000
METHOD_OPTMIZED-O(N) 209033 169000
METHOD_DEAFAULT-O(2N) 540126 170000
METHOD_OPTMIZED-O(N) 208161 170000
METHOD_DEAFAULT-O(2N) 559688 171000
METHOD_OPTMIZED-O(N) 225602 171000
METHOD_DEAFAULT-O(2N) 567312 172000
METHOD_OPTMIZED-O(N) 226331 172000
METHOD_DEAFAULT-O(2N) 557333 173000
METHOD_OPTMIZED-O(N) 213558 173000
METHOD_DEAFAULT-O(2N) 553809 174000
METHOD_OPTMIZED-O(N) 216062 174000
METHOD_DEAFAULT-O(2N) 531182 175000
METHOD_OPTMIZED-O(N) 206266 175000
METHOD_DEAFAULT-O(2N) 578402 176000
METHOD_OPTMIZED-O(N) 228107 176000
METHOD_DEAFAULT-O(2N) 604427 177000
METHOD_OPTMIZED-O(N) 238204 177000
METHOD_DEAFAULT-O(2N) 622740 178000
METHOD_OPTMIZED-O(N) 245654 178000
METHOD_DEAFAULT-O(2N) 582391 179000
METHOD_OPTMIZED-O(N) 227619 179000
METHOD_DEAFAULT-O(2N) 681730 180000
METHOD_OPTMIZED-O(N) 297332 180000
METHOD_DEAFAULT-O(2N) 715817 181000
METHOD_OPTMIZED-O(N) 316247 181000
METHOD_DEAFAULT-O(2N) 693479 182000
METHOD_OPTMIZED-O(N) 294995 182000
METHOD_DEAFAULT-O(2N) 725870 183000
METHOD_OPTMIZED-O(N) 315561 183000
METHOD_DEAFAULT-O(2N) 703677 184000
METHOD_OPTMIZED-O(N) 290793 184000
METHOD_DEAFAULT-O(2N) 643989 185000
METHOD_OPTMIZED-O(N) 250057 185000
METHOD_DEAFAULT-O(2N) 680989 186000
METHOD_OPTMIZED-O(N) 278387 186000
METHOD_DEAFAULT-O(2N) 683534 187000
METHOD_OPTMIZED-O(N) 272185 187000
METHOD_DEAFAULT-O(2N) 748878 188000
METHOD_OPTMIZED-O(N) 288804 188000
METHOD_DEAFAULT-O(2N) 765866 189000
METHOD_OPTMIZED-O(N) 281860 189000
METHOD_DEAFAULT-O(2N) 856625 190000
METHOD_OPTMIZED-O(N) 291020 190000
METHOD_DEAFAULT-O(2N) 972689 191000
METHOD_OPTMIZED-O(N) 315942 191000
METHOD_DEAFAULT-O(2N) 1408812 192000
METHOD_OPTMIZED-O(N) 408453 192000
METHOD_DEAFAULT-O(2N) 836756 193000
METHOD_OPTMIZED-O(N) 274302 193000
METHOD_DEAFAULT-O(2N) 703842 194000
METHOD_OPTMIZED-O(N) 286113 194000
METHOD_DEAFAULT-O(2N) 675243 195000
METHOD_OPTMIZED-O(N) 292139 195000
METHOD_DEAFAULT-O(2N) 660220 196000
METHOD_OPTMIZED-O(N) 295001 196000
METHOD_DEAFAULT-O(2N) 684006 197000
METHOD_OPTMIZED-O(N) 305837 197000
METHOD_DEAFAULT-O(2N) 758157 198000
METHOD_OPTMIZED-O(N) 274796 198000
METHOD_DEAFAULT-O(2N) 649596 199000
METHOD_OPTMIZED-O(N) 265093 199000
METHOD_DEAFAULT-O(2N) 702736 200000
METHOD_OPTMIZED-O(N) 263604 200000
METHOD_DEAFAULT-O(2N) 645293 201000
METHOD_OPTMIZED-O(N) 260069 201000
METHOD_DEAFAULT-O(2N) 674676 202000
METHOD_OPTMIZED-O(N) 268626 202000
METHOD_DEAFAULT-O(2N) 666381 203000
METHOD_OPTMIZED-O(N) 265752 203000
